Suite,AOR,LOR,COR,ROR,SOR,ORU,STD,LVR
344,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.25
345,0.0,0.0,1.0,0.5714285714285714,0.0,0.0,0.0,0.625
346,0.0,0.0,0.3333333333333333,0.2857142857142857,0.0,0.0,0.0,0.5
347,0.75,0.0,0.25,0.5,0.0,0.0,0.0,0.5714285714285714
340,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,1.0
341,0.0,0.0,0.75,0.6666666666666666,0.0,0.0,0.0,0.5
342,0.75,0.0,0.5,0.6666666666666666,0.0,0.0,0.0,0.5714285714285714
343,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.375
348,0.0,0.0,0.75,0.7777777777777778,0.0,0.0,0.0,0.25
349,1.0,0.0,0.3,0.25,0.0,0.0,0.5217391304347826,0.7058823529411765
1653,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
298,0.0,0.0,0.5,0.2857142857142857,0.0,0.0,1.0,0.6666666666666666
299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296,0.0,0.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.0
297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295,0.0,0.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.0
292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0
290,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0
291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2147,0.2638888888888889,0.0,0.2916666666666667,0.2328767123287671,0.0,0.0,0.30434782608695654,0.35074626865671643
270,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273,0.0,0.0,1.0,0.4,0.0,0.0,1.0,0.7777777777777778
274,0.0,0.0,1.0,0.4,0.0,0.0,1.0,0.7777777777777778
275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.4791666666666667
277,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.4791666666666667
278,0.0,0.0,0.75,0.6666666666666666,0.0,0.0,0.0,1.0
279,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0
1780,0.7142857142857143,0.0,0.12280701754385964,0.30303030303030304,0.0,0.0,0.375,0.3114754098360656
2146,0.0,0.0,0.029411764705882353,0.2631578947368421,0.0,0.0,0.8,0.25
2268,0.9264705882352942,1.0,0.5555555555555556,0.49333333333333335,1.0,1.0,0.875,0.4652777777777778
2269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2262,0.75,0.0,0.2,0.3939393939393939,0.0,0.0,0.6923076923076923,0.5675675675675675
2263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2260,0.59375,0.0,0.3541666666666667,0.2719298245614035,0.0,0.0,0.5714285714285714,0.4326923076923077
2261,0.8055555555555556,0.0,0.3,0.38461538461538464,0.0,0.0,0.6666666666666666,0.5777777777777777
2266,0.7142857142857143,0.0,0.2,0.2909090909090909,0.0,0.0,0.5581395348837209,0.3220338983050847
2267,0.0,0.0,0.375,0.4166666666666667,0.0,0.0,0.36363636363636365,0.0
2264,0.8194444444444444,0.0,0.4166666666666667,0.36764705882352944,0.0,0.0,0.6585365853658537,0.42424242424242425
2265,0.0,0.0,0.015151515151515152,0.0,0.0,0.0,1.0,0.0
1781,0.7142857142857143,0.0,0.12280701754385964,0.23728813559322035,0.0,0.0,0.3950617283950617,0.2807017543859649
2189,0.0,0.0,0.42857142857142855,0.2857142857142857,0.0,0.0,0.7,0.5555555555555556
108,0.0,0.0,0.0,0.5384615384615384,0.0,0.0,0.0,0.4523809523809524
109,0.0,0.0,0.0,0.5384615384615384,0.0,0.0,0.0,0.4523809523809524
102,0.0,0.0,1.0,0.75,0.0,0.0,0.0,0.6481481481481481
103,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5
100,0.0,0.0,1.0,0.75,0.0,0.0,0.0,0.525
101,0.0,0.0,1.0,0.75,0.0,0.0,0.0,0.525
106,1.0,0.0,0.75,0.5333333333333333,0.0,0.0,0.0,0.4782608695652174
107,1.0,0.0,0.0,0.5,0.0,0.0,1.0,0.5714285714285714
104,0.0,0.0,0.9375,0.8666666666666667,0.0,0.0,0.0,0.5681818181818182
105,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,1.0,0.5833333333333334
2046,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.3333333333333333
2047,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.8571428571428571
2044,0.9166666666666666,0.0,0.18181818181818182,0.37037037037037035,0.0,0.0,0.0,0.5833333333333334
2045,0.0,0.0,0.375,0.38461538461538464,0.0,0.0,0.0,0.7142857142857143
2042,1.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.2,0.75
2043,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.3333333333333333
2040,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2048,0.0,0.0,0.75,0.6666666666666666,0.0,1.0,1.0,0.9583333333333334
2049,0.0,0.0,0.625,0.5,0.0,0.0,1.0,0.8333333333333334
1372,0.25,0.0,0.02702702702702703,0.21875,0.0,0.0,0.7142857142857143,0.1875
2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0
1210,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1375,0.4791666666666667,0.0,0.5,0.4107142857142857,0.0,0.0,0.7,0.675
1655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1374,0.45454545454545453,0.0,0.625,0.35,0.0,0.0,0.6666666666666666,0.5769230769230769
99,1.0,0.0,0.8333333333333334,0.5625,0.0,0.0,0.0,0.4782608695652174
98,1.0,0.0,0.0,0.5,0.0,0.0,1.0,0.5476190476190477
91,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.5476190476190477
90,1.0,0.0,0.8,0.5263157894736842,0.0,0.0,0.0,0.4318181818181818
93,1.0,0.0,0.0,0.7692307692307693,0.0,0.0,0.0,0.5227272727272727
92,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.5476190476190477
95,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5
94,0.0,0.0,0.8333333333333334,0.6923076923076923,0.0,0.0,0.0,0.4523809523809524
97,0.0,0.0,0.8333333333333334,0.5384615384615384,0.0,0.0,0.0,0.45454545454545453
