Mutant Number,Operator Class,Killed by,Description
46,STD,"['10', '29', '51']","<ASSIGN>:<NO-OP>:triangle.Triangle@classify:28:trian = trian + 2 |==> <NO-OP>
"
47,ROR,"['2', '5', '8', '14', '16', '19', '22', '23', '26', '27', '30', '31', '47', '48', '49', '52']","==(int,int):<=(int,int):triangle.Triangle@classify:30:b == c |==> b <= c
"
48,ROR,"['4', '6', '10', '18', '20', '25', '29', '32', '51']","==(int,int):>=(int,int):triangle.Triangle@classify:30:b == c |==> b >= c
"
49,ROR,"['9', '28', '34', '50', '54', '55', '56', '57']","==(int,int):FALSE(int,int):triangle.Triangle@classify:30:b == c |==> false
"
50,LVR,"['9', '28', '34', '50', '54', '55', '56', '57']","POS:0:triangle.Triangle@classify:31:3 |==> 0
"
51,LVR,"['9', '28', '34', '50', '54', '55', '56', '57']","POS:NEG:triangle.Triangle@classify:31:3 |==> -3
"
52,AOR,"['9', '28', '34', '50', '54', '55', '56', '57']","+(int,int):%(int,int):triangle.Triangle@classify:31:trian + 3 |==> trian % 3
"
53,AOR,"['9', '28', '34', '50']","+(int,int):*(int,int):triangle.Triangle@classify:31:trian + 3 |==> trian * 3
"
54,AOR,"['9', '28', '34', '50', '54', '55', '56', '57']","+(int,int):-(int,int):triangle.Triangle@classify:31:trian + 3 |==> trian - 3
"
55,AOR,"['9', '28', '34', '50', '54', '55', '56', '57']","+(int,int):/(int,int):triangle.Triangle@classify:31:trian + 3 |==> trian / 3
"
56,STD,"['9', '28', '34', '50', '54', '55', '56', '57']","<ASSIGN>:<NO-OP>:triangle.Triangle@classify:31:trian = trian + 3 |==> <NO-OP>
"
57,LVR,"['8', '14', '22', '26', '27', '49', '52']","0:POS:triangle.Triangle@classify:33:0 |==> 1
"
58,LVR,"['14', '22', '26', '52']","0:NEG:triangle.Triangle@classify:33:0 |==> -1
"
59,ROR,[],"==(int,int):<=(int,int):triangle.Triangle@classify:33:trian == 0 |==> trian <= 0
"
60,ROR,"['8', '9', '10', '27', '28', '29', '34', '49', '50', '51', '54', '55', '56', '57']","==(int,int):>=(int,int):triangle.Triangle@classify:33:trian == 0 |==> trian >= 0
"
61,ROR,"['14', '22', '26', '52']","==(int,int):FALSE(int,int):triangle.Triangle@classify:33:trian == 0 |==> false
"
62,AOR,"['14', '22', '26', '52']","+(int,int):%(int,int):triangle.Triangle@classify:34:a + b |==> a % b
"
63,AOR,['23'],"+(int,int):*(int,int):triangle.Triangle@classify:34:a + b |==> a * b
"
64,AOR,"['14', '22', '26', '52']","+(int,int):-(int,int):triangle.Triangle@classify:34:a + b |==> a - b
"
65,AOR,"['14', '22', '26', '52']","+(int,int):/(int,int):triangle.Triangle@classify:34:a + b |==> a / b
"
66,ROR,['23'],"<=(int,int):<(int,int):triangle.Triangle@classify:34:a + b <= c |==> a + b < c
"
67,ROR,"['2', '16', '47']","<=(int,int):==(int,int):triangle.Triangle@classify:34:a + b <= c |==> a + b == c
"
68,ROR,"['14', '22', '26', '52']","<=(int,int):TRUE(int,int):triangle.Triangle@classify:34:a + b <= c |==> true
"
69,AOR,"['14', '22', '26', '52']","+(int,int):%(int,int):triangle.Triangle@classify:34:a + c |==> a % c
"
70,AOR,['25'],"+(int,int):*(int,int):triangle.Triangle@classify:34:a + c |==> a * c
"
71,AOR,"['14', '22', '26', '52']","+(int,int):-(int,int):triangle.Triangle@classify:34:a + c |==> a - c
"
72,AOR,"['14', '22', '26', '52']","+(int,int):/(int,int):triangle.Triangle@classify:34:a + c |==> a / c
"
73,ROR,['25'],"<=(int,int):<(int,int):triangle.Triangle@classify:34:a + c <= b |==> a + c < b
"
74,ROR,"['4', '18']","<=(int,int):==(int,int):triangle.Triangle@classify:34:a + c <= b |==> a + c == b
"
