Suite,AOR,LOR,COR,ROR,SOR,ORU,STD,LVR
24,0.65,0.0,0.53125,0.5245098039215687,0.0,0.0,0.9224806201550387,0.7391304347826086
25,0.0,0.0,0.8461538461538461,0.8133333333333334,0.0,0.0,0.8888888888888888,0.9482758620689655
26,0.4166666666666667,0.0,0.6956521739130435,0.47619047619047616,0.0,0.0,0.6111111111111112,0.6142857142857143
27,0.8461538461538461,0.0,0.88,0.696078431372549,0.0,0.0,0.9807692307692307,0.6477272727272727
20,0.75,0.0,0.6363636363636364,0.5949367088607594,0.0,0.0,0.7547169811320755,0.6597938144329897
21,0.9583333333333334,0.0,0.75,0.54,0.0,0.0,0.8947368421052632,0.8194444444444444
22,0.125,0.0,0.8333333333333334,0.6923076923076923,0.0,0.0,0.6610169491525424,0.68
23,0.0,0.0,0.0,0.75,0.0,0.0,0.8666666666666667,0.25
28,0.7522321428571429,0.0,0.5622406639004149,0.5650557620817844,0.0,0.0,0.8435114503816794,0.6963064295485636
29,1.0,0.0,0.9117647058823529,0.74,0.0,0.0,1.0,0.7
4,0.85,0.0,0.7307692307692307,0.4755244755244755,0.0,0.0,0.7831325301204819,0.5416666666666666
8,0.0,0.0,0.015625,0.1111111111111111,0.0,0.0,0.23529411764705882,0.1
59,0.0,0.0,0.3888888888888889,0.2857142857142857,0.0,0.0,0.7794117647058824,0.42857142857142855
58,0.0,0.0,0.29069767441860467,0.2222222222222222,0.0,0.0,0.5135135135135135,0.5370370370370371
55,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
54,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.0
57,0.0,0.0,0.0,0.5,0.0,0.0,0.8275862068965517,1.0
56,1.0,0.0,0.9166666666666666,0.7333333333333333,0.0,0.0,0.9655172413793104,0.8666666666666667
51,0.0,0.0,0.5,1.0,0.0,0.0,0.875,0.0
50,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
53,0.0,0.0,0.25,0.6,0.0,0.0,0.75,0.6666666666666666
52,0.0,0.0,0.85,1.0,0.0,0.0,1.0,1.0
88,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.2,0.5833333333333334
89,0.5,0.0,0.0,0.21428571428571427,0.0,0.0,0.8333333333333334,0.625
111,0.0,0.0,0.3,0.3333333333333333,0.0,0.0,0.9285714285714286,1.0
110,0.0,0.5,0.3,0.3076923076923077,0.0,0.0,0.8387096774193549,1.0
82,0.7105263157894737,0.0,0.4642857142857143,0.6086956521739131,0.0,0.0,0.7335423197492164,0.6680497925311203
83,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
80,1.0,1.0,0.8333333333333334,0.782608695652174,0.0,0.0,0.9166666666666666,0.7142857142857143
81,0.5141509433962265,0.0,0.2708333333333333,0.5919282511210763,0.0,0.0,0.7172131147540983,0.5131578947368421
86,0.631578947368421,0.0,0.27710843373493976,0.4888888888888889,0.0,0.0,0.5854545454545454,0.5051546391752577
