CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
17436111,101,1215,317,736,736,19249,15263,10342,1074,5461,41861
17763438,102,41,86,1004,1004,19335,15619,10614,1159,5375,42865
18330990,103,660,36,388,388,19371,15695,10812,1272,5339,43253
18479075,104,20,4,956,956,19375,16057,11060,1314,5335,44209
19202500,105,4773,66,298,298,19441,16183,11119,1314,5269,44507
19204170,106,10,7,33,33,19448,16198,11124,1314,5262,44540
19206634,107,6,22,47,47,19470,16219,11130,1314,5240,44587
19208050,108,5,7,35,35,19477,16236,11135,1314,5233,44622
19209882,109,5,7,43,43,19484,16257,11140,1314,5226,44665
19213786,110,6,5,61,61,19489,16287,11149,1314,5221,44726
19216898,111,6,3,59,59,19492,16315,11159,1314,5218,44785
